Country,Date,No. of confirmed cases,No. of confirmed deaths
Nigeria,21/04/2015,19,7
Guinea,21/04/2015,3136,1943
Senegal,21/04/2015,1,0
United Kingdom,21/04/2015,1,
Mali,21/04/2015,7,
Mali,22/04/2015,7,
Nigeria,22/04/2015,19,7
Sierra Leone,22/04/2015,8575,3511
Spain,22/04/2015,1,0
United Kingdom,22/04/2015,1,
Senegal,22/04/2015,1,0
Guinea,22/04/2015,3136,1943
Liberia,22/04/2015,3151,
United States of America,22/04/2015,4,1
Sierra Leone,23/04/2015,8581,3519
Spain,23/04/2015,1,0
Liberia,23/04/2015,3151,
Guinea,23/04/2015,3144,1947
Senegal,23/04/2015,1,0
United Kingdom,23/04/2015,1,
Nigeria,23/04/2015,19,7
United States of America,23/04/2015,4,1
Mali,23/04/2015,7,
Liberia,24/04/2015,3151,
Nigeria,24/04/2015,19,7
Sierra Leone,24/04/2015,8584,3520
United Kingdom,24/04/2015,1,
Mali,24/04/2015,7,
Spain,24/04/2015,1,0
Guinea,24/04/2015,3145,1950
Senegal,24/04/2015,1,0
United States of America,24/04/2015,4,1
Spain,27/04/2015,1,0
United Kingdom,27/04/2015,1,
Guinea,27/04/2015,3154,1959
United States of America,27/04/2015,4,1
Senegal,27/04/2015,1,0
Nigeria,27/04/2015,19,7
Liberia,27/04/2015,3151,
Mali,27/04/2015,7,
Sierra Leone,27/04/2015,8585,3529
United States of America,28/04/2015,4,1
United Kingdom,28/04/2015,1,
Sierra Leone,28/04/2015,8586,3533
Spain,28/04/2015,1,0
Senegal,28/04/2015,1,0
Liberia,28/04/2015,3151,
Mali,28/04/2015,7,
Guinea,28/04/2015,3158,1962
Nigeria,28/04/2015,19,7
Liberia,30/04/2015,3151,
Senegal,30/04/2015,1,0
Mali,30/04/2015,7,
Nigeria,30/04/2015,19,7
Sierra Leone,30/04/2015,8588,3535
Guinea,30/04/2015,3159,1966
United Kingdom,30/04/2015,1,
United States of America,30/04/2015,4,1
Spain,30/04/2015,1,0
United Kingdom,01/05/2015,1,
Senegal,01/05/2015,1,0
Liberia,01/05/2015,3151,
United States of America,01/05/2015,4,1
Sierra Leone,01/05/2015,8590,3535
Spain,01/05/2015,1,0
Guinea,01/05/2015,3161,1968
Mali,01/05/2015,7,
Nigeria,01/05/2015,19,7
United Kingdom,04/05/2015,1,
United States of America,04/05/2015,4,1
Guinea,04/05/2015,3163,1970
Mali,04/05/2015,7,
Senegal,04/05/2015,1,0
Spain,04/05/2015,1,0
Sierra Leone,04/05/2015,8592,3536
Nigeria,04/05/2015,19,7
Liberia,04/05/2015,3151,
Guinea,05/05/2015,3167,1971
Spain,05/05/2015,1,0
United States of America,05/05/2015,4,1
Nigeria,05/05/2015,19,7
Senegal,05/05/2015,1,0
United Kingdom,05/05/2015,1,
Liberia,05/05/2015,3151,
Mali,05/05/2015,7,
Sierra Leone,05/05/2015,8595,3537
United States of America,06/05/2015,4,1
Liberia,06/05/2015,3151,
Mali,06/05/2015,7,
Sierra Leone,06/05/2015,8595,3537
Nigeria,06/05/2015,19,7
Guinea,06/05/2015,3167,1971
Spain,06/05/2015,1,0
United Kingdom,06/05/2015,1,
Senegal,06/05/2015,1,0
Nigeria,07/05/2015,19,7
United States of America,07/05/2015,4,1
Senegal,07/05/2015,1,0
Mali,07/05/2015,7,
United Kingdom,07/05/2015,1,
Guinea,07/05/2015,3170,1972
Spain,07/05/2015,1,0
Sierra Leone,07/05/2015,8597,3538
Liberia,07/05/2015,3151,
Sierra Leone,08/05/2015,8597,3538
Spain,08/05/2015,1,0
Mali,08/05/2015,7,
United Kingdom,08/05/2015,1,
Nigeria,08/05/2015,19,7
Senegal,08/05/2015,1,0
Guinea,08/05/2015,3170,1972
Liberia,08/05/2015,3151,
United States of America,08/05/2015,4,1
Senegal,11/05/2015,1,0
Sierra Leone,11/05/2015,8597,3538
Liberia,11/05/2015,3151,
Mali,11/05/2015,7,
Spain,11/05/2015,1,0
Guinea,11/05/2015,3173,1976
Nigeria,11/05/2015,19,7
United States of America,11/05/2015,4,1
United Kingdom,11/05/2015,1,
United States of America,12/05/2015,4,1
United Kingdom,12/05/2015,1,
Liberia,12/05/2015,3151,
Senegal,12/05/2015,1,0
Spain,12/05/2015,1,0
Guinea,12/05/2015,3174,1977
Sierra Leone,12/05/2015,8597,3538
Nigeria,12/05/2015,19,7
Mali,12/05/2015,7,
Liberia,13/05/2015,3151,
Senegal,13/05/2015,1,0
United States of America,13/05/2015,4,1
Nigeria,13/05/2015,19,7
Mali,13/05/2015,7,
Sierra Leone,13/05/2015,8597,3538
United Kingdom,13/05/2015,1,
Spain,13/05/2015,1,0
Guinea,13/05/2015,3173,1976
United Kingdom,14/05/2015,1,
Nigeria,14/05/2015,19,7
Italy,14/05/2015,1,
Sierra Leone,14/05/2015,8597,3538
United States of America,14/05/2015,4,1
Spain,14/05/2015,1,0
Liberia,14/05/2015,3151,
Guinea,14/05/2015,3187,1980
Mali,14/05/2015,7,
Senegal,14/05/2015,1,0
Senegal,15/05/2015,1,0
Sierra Leone,15/05/2015,8598,3538
Italy,15/05/2015,1,0
Mali,15/05/2015,7,
United Kingdom,15/05/2015,1,
Nigeria,15/05/2015,19,7
Liberia,15/05/2015,3151,
Guinea,15/05/2015,3189,1982
Spain,15/05/2015,1,0
United States of America,15/05/2015,4,1
Senegal,18/05/2015,1,0
Guinea,18/05/2015,3195,1986
Liberia,18/05/2015,3151,
United States of America,18/05/2015,4,1
United Kingdom,18/05/2015,1,
Sierra Leone,18/05/2015,8603,3540
Nigeria,18/05/2015,19,7
Mali,18/05/2015,7,
Spain,18/05/2015,1,0
Italy,18/05/2015,1,
United States of America,19/05/2015,4,1
Spain,19/05/2015,1,0
Senegal,19/05/2015,1,0
Sierra Leone,19/05/2015,8605,3541
Liberia,19/05/2015,3151,
United Kingdom,19/05/2015,1,
Nigeria,19/05/2015,19,7
Guinea,19/05/2015,3201,1988
Italy,19/05/2015,1,
Mali,19/05/2015,7,
Sierra Leone,20/05/2015,8605,3541
Italy,20/05/2015,1,
United Kingdom,20/05/2015,1,
Spain,20/05/2015,1,0
Guinea,20/05/2015,3201,1988
Liberia,20/05/2015,3151,
Nigeria,20/05/2015,19,7
United States of America,20/05/2015,4,1
Mali,20/05/2015,7,
Senegal,20/05/2015,1,0
United Kingdom,21/05/2015,1,
Sierra Leone,21/05/2015,8607,3541
Italy,21/05/2015,1,
Spain,21/05/2015,1,0
Nigeria,21/05/2015,19,7
United States of America,21/05/2015,4,1
Guinea,21/05/2015,3204,1990
Senegal,21/05/2015,1,0
Liberia,21/05/2015,3151,
Mali,21/05/2015,7,
Italy,22/05/2015,1,
Guinea,22/05/2015,3205,1993
Liberia,22/05/2015,3151,
Spain,22/05/2015,1,0
Sierra Leone,22/05/2015,8608,3541
Mali,22/05/2015,7,
United Kingdom,22/05/2015,1,
United States of America,22/05/2015,4,1
Nigeria,22/05/2015,19,7
Senegal,22/05/2015,1,0
United States of America,25/05/2015,4,1
Sierra Leone,25/05/2015,8608,3542
Italy,25/05/2015,1,
Guinea,25/05/2015,3208,1999
Senegal,25/05/2015,1,0
Nigeria,25/05/2015,19,7
Spain,25/05/2015,1,0
United Kingdom,25/05/2015,1,
Mali,25/05/2015,7,
Liberia,25/05/2015,3151,
Liberia,26/05/2015,3151,
United States of America,26/05/2015,4,1
Mali,26/05/2015,7,
Italy,26/05/2015,1,
Nigeria,26/05/2015,19,7
United Kingdom,26/05/2015,1,
Sierra Leone,26/05/2015,8608,3542
Guinea,26/05/2015,3210,2001
Senegal,26/05/2015,1,0
Spain,26/05/2015,1,0
Liberia,27/05/2015,3151,
Nigeria,27/05/2015,19,7
Senegal,27/05/2015,1,0
Mali,27/05/2015,7,
Spain,27/05/2015,1,0
Italy,27/05/2015,1,
United States of America,27/05/2015,4,1
Sierra Leone,27/05/2015,8608,3542
United Kingdom,27/05/2015,1,
Guinea,27/05/2015,3210,2001
Italy,28/05/2015,1,
Mali,28/05/2015,7,
Nigeria,28/05/2015,19,7
United Kingdom,28/05/2015,1,
Liberia,28/05/2015,3151,
Senegal,28/05/2015,1,0
Sierra Leone,28/05/2015,8611,3545
United States of America,28/05/2015,4,1
Guinea,28/05/2015,3214,2004
Spain,28/05/2015,1,0
Sierra Leone,29/05/2015,8614,3545
United Kingdom,29/05/2015,1,
Italy,29/05/2015,1,
Guinea,29/05/2015,3216,2006
Mali,29/05/2015,7,
Liberia,29/05/2015,3151,
United States of America,29/05/2015,4,1
Nigeria,29/05/2015,19,7
Spain,29/05/2015,1,0
Senegal,29/05/2015,1,0
Mali,01/06/2015,7,
United Kingdom,01/06/2015,1,
Guinea,01/06/2015,3220,2009
Sierra Leone,01/06/2015,8618,3545
Spain,01/06/2015,1,0
Senegal,01/06/2015,1,0
Nigeria,01/06/2015,19,7
Liberia,01/06/2015,3151,
Italy,01/06/2015,1,
United States of America,01/06/2015,4,1
Nigeria,02/06/2015,19,7
United States of America,02/06/2015,4,1
United Kingdom,02/06/2015,1,
Senegal,02/06/2015,1,0
Mali,02/06/2015,7,
Italy,02/06/2015,1,
Spain,02/06/2015,1,0
Guinea,02/06/2015,3223,2010
Liberia,02/06/2015,3151,
Sierra Leone,02/06/2015,8620,3546
Nigeria,03/06/2015,19,7
Senegal,03/06/2015,1,0
Guinea,03/06/2015,3223,2010
Mali,03/06/2015,7,
United States of America,03/06/2015,4,1
Liberia,03/06/2015,3151,
Italy,03/06/2015,1,
Spain,03/06/2015,1,0
Sierra Leone,03/06/2015,8620,3546
United Kingdom,03/06/2015,1,
Liberia,04/06/2015,3151,
Italy,04/06/2015,1,
Senegal,04/06/2015,1,0
United States of America,04/06/2015,4,1
Spain,04/06/2015,1,0
United Kingdom,04/06/2015,1,
Guinea,04/06/2015,3227,2012
Mali,04/06/2015,7,
Nigeria,04/06/2015,19,7
Sierra Leone,04/06/2015,8623,3546
Mali,05/06/2015,7,
Liberia,05/06/2015,3151,
Guinea,05/06/2015,3228,2012
United Kingdom,05/06/2015,1,
Sierra Leone,05/06/2015,8624,3546
Senegal,05/06/2015,1,0
Italy,05/06/2015,1,
United States of America,05/06/2015,4,1
Spain,05/06/2015,1,0
Nigeria,05/06/2015,19,7
Mali,08/06/2015,7,
Senegal,08/06/2015,1,0
Guinea,08/06/2015,3237,2016
Liberia,08/06/2015,3151,
United Kingdom,08/06/2015,1,
United States of America,08/06/2015,4,1
Spain,08/06/2015,1,0
Sierra Leone,08/06/2015,8630,3547
Italy,08/06/2015,1,
Nigeria,08/06/2015,19,7
United Kingdom,09/06/2015,1,
Nigeria,09/06/2015,19,7
Liberia,09/06/2015,3151,
Guinea,09/06/2015,3239,2018
Spain,09/06/2015,1,0
United States of America,09/06/2015,4,1
Italy,09/06/2015,1,
Senegal,09/06/2015,1,0
Mali,09/06/2015,7,
Sierra Leone,09/06/2015,8635,3549
Mali,10/06/2015,7,
United Kingdom,10/06/2015,1,
Senegal,10/06/2015,1,0
Sierra Leone,10/06/2015,8635,3549
United States of America,10/06/2015,4,1
Guinea,10/06/2015,3239,2018
Italy,10/06/2015,1,
Nigeria,10/06/2015,19,7
Liberia,10/06/2015,3151,
Spain,10/06/2015,1,0
United Kingdom,11/06/2015,1,
Sierra Leone,11/06/2015,8638,3551
Senegal,11/06/2015,1,0
Liberia,11/06/2015,3151,
Spain,11/06/2015,1,0
Guinea,11/06/2015,3243,2021
Mali,11/06/2015,7,
Italy,11/06/2015,1,
United States of America,11/06/2015,4,1
Nigeria,11/06/2015,19,7
Senegal,12/06/2015,1,0
United Kingdom,12/06/2015,1,
Nigeria,12/06/2015,19,7
Spain,12/06/2015,1,0
Mali,12/06/2015,7,
Liberia,12/06/2015,3151,
United States of America,12/06/2015,4,1
Sierra Leone,12/06/2015,8647,3551
Guinea,12/06/2015,3243,2021
Italy,12/06/2015,1,
Italy,15/06/2015,1,
Sierra Leone,15/06/2015,8649,3553
Nigeria,15/06/2015,19,7
Mali,15/06/2015,7,
United States of America,15/06/2015,4,1
Liberia,15/06/2015,3151,
United Kingdom,15/06/2015,1,
Guinea,15/06/2015,3249,2024
Senegal,15/06/2015,1,0
Spain,15/06/2015,1,0
Mali,16/06/2015,7,
United Kingdom,16/06/2015,1,
Italy,16/06/2015,1,
Spain,16/06/2015,1,0
Sierra Leone,16/06/2015,8649,3553
United States of America,16/06/2015,4,1
Nigeria,16/06/2015,19,7
Liberia,16/06/2015,3151,
Senegal,16/06/2015,1,0
Guinea,16/06/2015,3249,2025
Nigeria,17/06/2015,19,7
Spain,17/06/2015,1,0
Mali,17/06/2015,7,
Senegal,17/06/2015,1,0
United Kingdom,17/06/2015,1,
Sierra Leone,17/06/2015,8649,3553
United States of America,17/06/2015,4,1
Liberia,17/06/2015,3151,
Guinea,17/06/2015,3245,2025
Italy,17/06/2015,1,
Sierra Leone,18/06/2015,8651,3556
Mali,18/06/2015,7,
Italy,18/06/2015,1,
Liberia,18/06/2015,3151,
Nigeria,18/06/2015,19,7
United States of America,18/06/2015,4,1
Guinea,18/06/2015,3246,2026
Spain,18/06/2015,1,0
United Kingdom,18/06/2015,1,
Senegal,18/06/2015,1,0
Sierra Leone,19/06/2015,8654,3560
United States of America,19/06/2015,4,1
Mali,19/06/2015,7,
Spain,19/06/2015,1,0
Guinea,19/06/2015,3247,2027
Liberia,19/06/2015,3151,
Nigeria,19/06/2015,19,7
Italy,19/06/2015,1,
United Kingdom,19/06/2015,1,
Senegal,19/06/2015,1,0
Nigeria,22/06/2015,19,7
Liberia,22/06/2015,3151,
Sierra Leone,22/06/2015,8657,3562
United Kingdom,22/06/2015,1,
Italy,22/06/2015,1,
Spain,22/06/2015,1,0
United States of America,22/06/2015,4,1
Senegal,22/06/2015,1,0
Guinea,22/06/2015,3254,2028
Mali,22/06/2015,7,
Spain,23/06/2015,1,0
United States of America,23/06/2015,4,1
Senegal,23/06/2015,1,0
United Kingdom,23/06/2015,1,
Nigeria,23/06/2015,19,7
Sierra Leone,23/06/2015,8657,3562
Guinea,23/06/2015,3257,2030
Liberia,23/06/2015,3151,
Mali,23/06/2015,7,
Italy,23/06/2015,1,
United Kingdom,24/06/2015,1,
Sierra Leone,24/06/2015,8657,3562
Mali,24/06/2015,7,
Senegal,24/06/2015,1,0
United States of America,24/06/2015,4,1
Guinea,24/06/2015,3257,2030
Spain,24/06/2015,1,0
Liberia,24/06/2015,3151,
Italy,24/06/2015,1,
Nigeria,24/06/2015,19,7
Guinea,25/06/2015,3264,2037
Senegal,25/06/2015,1,0
Spain,25/06/2015,1,0
Nigeria,25/06/2015,19,7
United States of America,25/06/2015,4,1
Mali,25/06/2015,7,
Italy,25/06/2015,1,
Liberia,25/06/2015,3151,
Sierra Leone,25/06/2015,8660,3565
United Kingdom,25/06/2015,1,
Spain,26/06/2015,1,0
United Kingdom,26/06/2015,1,
Mali,26/06/2015,7,
Italy,26/06/2015,1,
Liberia,26/06/2015,3151,
Nigeria,26/06/2015,19,7
Guinea,26/06/2015,3266,2037
Senegal,26/06/2015,1,0
Sierra Leone,26/06/2015,8662,3565
United States of America,26/06/2015,4,1
Nigeria,29/06/2015,19,7
United Kingdom,29/06/2015,1,
Guinea,29/06/2015,3268,2039
Senegal,29/06/2015,1,0
Liberia,29/06/2015,3151,
Mali,29/06/2015,7,
Spain,29/06/2015,1,0
Italy,29/06/2015,1,
Sierra Leone,29/06/2015,8664,3566
United States of America,29/06/2015,4,1
Senegal,30/06/2015,1,0
Spain,30/06/2015,1,0
United Kingdom,30/06/2015,1,
Sierra Leone,30/06/2015,8665,3566
Guinea,30/06/2015,3269,2039
Mali,30/06/2015,7,
Nigeria,30/06/2015,19,7
United States of America,30/06/2015,4,1
Italy,30/06/2015,1,
Liberia,30/06/2015,3151,
United States of America,01/07/2015,4,1
Guinea,01/07/2015,3269,2039
Senegal,01/07/2015,1,0
Nigeria,01/07/2015,19,7
Mali,01/07/2015,7,
Sierra Leone,01/07/2015,8665,3566
Italy,01/07/2015,1,
Liberia,01/07/2015,3151,
United Kingdom,01/07/2015,1,
Spain,01/07/2015,1,0
United Kingdom,02/07/2015,1,
United States of America,02/07/2015,4,1
Spain,02/07/2015,1,0
Guinea,02/07/2015,3277,2040
Italy,02/07/2015,1,
Senegal,02/07/2015,1,0
Nigeria,02/07/2015,19,7
Liberia,02/07/2015,3151,
Sierra Leone,02/07/2015,8668,3567
Mali,02/07/2015,7,
Senegal,03/07/2015,1,0
Liberia,03/07/2015,3,1
Nigeria,03/07/2015,19,7
Italy,03/07/2015,1,
United States of America,03/07/2015,4,1
Liberia,03/07/2015,3151,
Sierra Leone,03/07/2015,8671,3569
Spain,03/07/2015,1,0
Guinea,03/07/2015,3279,2042
United Kingdom,03/07/2015,1,
Mali,03/07/2015,7,
Nigeria,06/07/2015,19,7
Senegal,06/07/2015,1,0
United States of America,06/07/2015,4,1
Mali,06/07/2015,7,
Liberia,06/07/2015,3151,
Spain,06/07/2015,1,0
Italy,06/07/2015,1,
United Kingdom,06/07/2015,1,
Guinea,06/07/2015,3287,2048
Sierra Leone,06/07/2015,8673,3574
Liberia,06/07/2015,3,1
United Kingdom,07/07/2015,1,
Nigeria,07/07/2015,19,7
United States of America,07/07/2015,4,1
Spain,07/07/2015,1,0
Mali,07/07/2015,7,
Sierra Leone,07/07/2015,8674,3574
Guinea,07/07/2015,3287,2049
Italy,07/07/2015,1,
Senegal,07/07/2015,1,0
Liberia,07/07/2015,3,1
Liberia,07/07/2015,3151,
Liberia,08/07/2015,3,1
Liberia,08/07/2015,3151,
Sierra Leone,08/07/2015,8674,3574
Mali,08/07/2015,7,
United States of America,08/07/2015,4,1
Italy,08/07/2015,1,
Senegal,08/07/2015,1,0
Nigeria,08/07/2015,19,7
United Kingdom,08/07/2015,1,
Guinea,08/07/2015,3287,2049
Spain,08/07/2015,1,0
United States of America,09/07/2015,4,1
Mali,09/07/2015,7,
Guinea,09/07/2015,3290,2055
Italy,09/07/2015,1,
Nigeria,09/07/2015,19,7
United Kingdom,09/07/2015,1,
Spain,09/07/2015,1,0
Liberia,09/07/2015,5,1
Sierra Leone,09/07/2015,8675,3575
Senegal,09/07/2015,1,0
Liberia,09/07/2015,3151,
Spain,10/07/2015,1,0
United States of America,10/07/2015,4,1
Sierra Leone,10/07/2015,8676,3575
Mali,10/07/2015,7,
Guinea,10/07/2015,3293,2055
Nigeria,10/07/2015,19,7
Liberia,10/07/2015,5,1
United Kingdom,10/07/2015,1,
Liberia,10/07/2015,3151,
Italy,10/07/2015,1,
Senegal,10/07/2015,1,0
Italy,13/07/2015,1,
United Kingdom,13/07/2015,1,
Guinea,13/07/2015,3299,2056
Senegal,13/07/2015,1,0
Liberia,13/07/2015,5,1
Sierra Leone,13/07/2015,8687,3580
Spain,13/07/2015,1,0
United States of America,13/07/2015,4,1
Nigeria,13/07/2015,19,7
Liberia,13/07/2015,3151,
Mali,13/07/2015,7,
Spain,14/07/2015,1,0
Senegal,14/07/2015,1,0
United States of America,14/07/2015,4,1
Nigeria,14/07/2015,19,7
Mali,14/07/2015,7,
Sierra Leone,14/07/2015,8688,3581
Liberia,14/07/2015,6,2
Guinea,14/07/2015,3300,2056
Italy,14/07/2015,1,
Liberia,14/07/2015,3151,
United Kingdom,14/07/2015,1,
Mali,15/07/2015,7,
Guinea,15/07/2015,3300,2056
Liberia,15/07/2015,3151,
Italy,15/07/2015,1,
Sierra Leone,15/07/2015,8688,3581
Spain,15/07/2015,1,0
United States of America,15/07/2015,4,1
United Kingdom,15/07/2015,1,
Senegal,15/07/2015,1,0
Liberia,15/07/2015,6,2
Nigeria,15/07/2015,19,7
Liberia,16/07/2015,3151,
United Kingdom,16/07/2015,1,
Nigeria,16/07/2015,19,7
Italy,16/07/2015,1,
Mali,16/07/2015,7,
United States of America,16/07/2015,4,1
Guinea,16/07/2015,3304,2056
Senegal,16/07/2015,1,0
Liberia,16/07/2015,6,2
Spain,16/07/2015,1,0
Sierra Leone,16/07/2015,8688,3581
United States of America,17/07/2015,4,1
Spain,17/07/2015,1,0
United Kingdom,17/07/2015,1,
Liberia,17/07/2015,6,2
Italy,17/07/2015,1,
Senegal,17/07/2015,1,0
Mali,17/07/2015,7,
Guinea,17/07/2015,3310,2059
Liberia,17/07/2015,3151,
Sierra Leone,17/07/2015,8688,3581
Nigeria,17/07/2015,19,7
Guinea,20/07/2015,3322,2061
Nigeria,20/07/2015,19,7
United States of America,20/07/2015,4,1
Spain,20/07/2015,1,0
Sierra Leone,20/07/2015,8692,3583
Liberia,20/07/2015,3151,
Senegal,20/07/2015,1,0
Liberia,20/07/2015,6,2
Mali,20/07/2015,7,
United Kingdom,20/07/2015,1,
Italy,20/07/2015,1,
Liberia,21/07/2015,6,2
Nigeria,21/07/2015,19,7
Sierra Leone,21/07/2015,8692,3583
United States of America,21/07/2015,4,1
United Kingdom,21/07/2015,1,
Italy,21/07/2015,1,
Mali,21/07/2015,7,
Spain,21/07/2015,1,0
Liberia,21/07/2015,3151,
Senegal,21/07/2015,1,0
Guinea,21/07/2015,3322,2062
United States of America,22/07/2015,4,1
Spain,22/07/2015,1,0
Senegal,22/07/2015,1,0
Sierra Leone,22/07/2015,8692,3583
Guinea,22/07/2015,3322,2062
Liberia,22/07/2015,6,2
Mali,22/07/2015,7,
Nigeria,22/07/2015,19,7
United Kingdom,22/07/2015,1,
Italy,22/07/2015,1,
Liberia,22/07/2015,3151,
United States of America,23/07/2015,4,1
Mali,23/07/2015,7,
Italy,23/07/2015,1,
Spain,23/07/2015,1,0
Sierra Leone,23/07/2015,8693,3583
Liberia,23/07/2015,3151,
Senegal,23/07/2015,1,0
United Kingdom,23/07/2015,1,
Nigeria,23/07/2015,19,7
Liberia,23/07/2015,6,2
Guinea,23/07/2015,3325,2066
Mali,24/07/2015,7,
United States of America,24/07/2015,4,1
Liberia,24/07/2015,6,2
Liberia,24/07/2015,3151,
Sierra Leone,24/07/2015,8693,3583
Italy,24/07/2015,1,
Senegal,24/07/2015,1,0
Guinea,24/07/2015,3325,2066
Nigeria,24/07/2015,19,7
United Kingdom,24/07/2015,1,
Spain,24/07/2015,1,0
Spain,27/07/2015,1,0
Italy,27/07/2015,1,
Senegal,27/07/2015,1,0
Guinea,27/07/2015,3325,2068
Liberia,27/07/2015,3151,
Nigeria,27/07/2015,19,7
United States of America,27/07/2015,4,1
Sierra Leone,27/07/2015,8694,3585
Mali,27/07/2015,7,
United Kingdom,27/07/2015,1,
Liberia,27/07/2015,6,2
Italy,28/07/2015,1,
Spain,28/07/2015,1,0
Senegal,28/07/2015,1,0
Guinea,28/07/2015,3326,2069
United Kingdom,28/07/2015,1,
Nigeria,28/07/2015,19,7
Liberia,28/07/2015,6,2
Sierra Leone,28/07/2015,8694,3585
Mali,28/07/2015,7,
Liberia,28/07/2015,3151,
United States of America,28/07/2015,4,1
Mali,29/07/2015,7,
Italy,29/07/2015,1,
Sierra Leone,29/07/2015,8694,3585
Spain,29/07/2015,1,0
Senegal,29/07/2015,1,0
Liberia,29/07/2015,6,2
Guinea,29/07/2015,3326,2069
United Kingdom,29/07/2015,1,
Liberia,29/07/2015,3151,
Nigeria,29/07/2015,19,7
United States of America,29/07/2015,4,1
United Kingdom,30/07/2015,1,
Senegal,30/07/2015,1,0
Liberia,30/07/2015,6,2
Sierra Leone,30/07/2015,8694,3585
United States of America,30/07/2015,4,1
Italy,30/07/2015,1,
Nigeria,30/07/2015,19,7
Liberia,30/07/2015,3151,
Guinea,30/07/2015,3326,2069
Spain,30/07/2015,1,0
Mali,30/07/2015,7,
Mali,31/07/2015,7,
Nigeria,31/07/2015,19,7
United States of America,31/07/2015,4,1
Senegal,31/07/2015,1,0
Liberia,31/07/2015,3151,
Guinea,31/07/2015,3326,2069
Sierra Leone,31/07/2015,8694,3585
Italy,31/07/2015,1,
Liberia,31/07/2015,6,2
United Kingdom,31/07/2015,1,
Spain,31/07/2015,1,0
Italy,03/08/2015,1,
United States of America,03/08/2015,4,1
Spain,03/08/2015,1,0
United Kingdom,03/08/2015,1,
Nigeria,03/08/2015,19,7
Guinea,03/08/2015,3327,2070
Liberia,03/08/2015,6,2
Sierra Leone,03/08/2015,8695,3585
Liberia,03/08/2015,3151,
Senegal,03/08/2015,1,0
Mali,03/08/2015,7,
Liberia,04/08/2015,3151,
United Kingdom,04/08/2015,1,
Spain,04/08/2015,1,0
Liberia,04/08/2015,6,2
Mali,04/08/2015,7,
Nigeria,04/08/2015,19,7
United States of America,04/08/2015,4,1
Italy,04/08/2015,1,
Guinea,04/08/2015,3327,2070
Sierra Leone,04/08/2015,8695,3585
Senegal,04/08/2015,1,0
Sierra Leone,05/08/2015,8695,3585
Liberia,05/08/2015,6,2
United States of America,05/08/2015,4,1
Spain,05/08/2015,1,0
Senegal,05/08/2015,1,0
United Kingdom,05/08/2015,1,
Liberia,05/08/2015,3151,
Italy,05/08/2015,1,
Guinea,05/08/2015,3327,2070
Nigeria,05/08/2015,19,7
Mali,05/08/2015,7,
Mali,06/08/2015,7,
Senegal,06/08/2015,1,0
Sierra Leone,06/08/2015,8696,3585
Liberia,06/08/2015,3151,
United Kingdom,06/08/2015,1,
Liberia,06/08/2015,6,2
United States of America,06/08/2015,4,1
Italy,06/08/2015,1,
Spain,06/08/2015,1,0
Guinea,06/08/2015,3329,2072
Nigeria,06/08/2015,19,7
United States of America,07/08/2015,4,1
Mali,07/08/2015,7,
Senegal,07/08/2015,1,0
United Kingdom,07/08/2015,1,
Nigeria,07/08/2015,19,7
Spain,07/08/2015,1,0
Italy,07/08/2015,1,
Guinea,07/08/2015,3329,2072
Liberia,07/08/2015,3151,
Liberia,07/08/2015,6,2
Sierra Leone,07/08/2015,8696,3585
Liberia,10/08/2015,6,2
Senegal,10/08/2015,1,0
United Kingdom,10/08/2015,1,
Spain,10/08/2015,1,0
Guinea,10/08/2015,3329,2072
Sierra Leone,10/08/2015,8697,3585
Mali,10/08/2015,7,
Liberia,10/08/2015,3151,
Italy,10/08/2015,1,
Nigeria,10/08/2015,19,7
United States of America,10/08/2015,4,1
Sierra Leone,11/08/2015,8697,3585
Spain,11/08/2015,1,0
Guinea,11/08/2015,3329,2072
Nigeria,11/08/2015,19,7
Italy,11/08/2015,1,
United States of America,11/08/2015,4,1
Liberia,11/08/2015,6,2
Mali,11/08/2015,7,
United Kingdom,11/08/2015,1,
Senegal,11/08/2015,1,0
Liberia,11/08/2015,3151,
Guinea,12/08/2015,3329,2072
Liberia,12/08/2015,6,2
Nigeria,12/08/2015,19,7
Spain,12/08/2015,1,0
Senegal,12/08/2015,1,0
United States of America,12/08/2015,4,1
Italy,12/08/2015,1,
Mali,12/08/2015,7,
Sierra Leone,12/08/2015,8697,3585
Liberia,12/08/2015,3151,
United Kingdom,12/08/2015,1,
Liberia,13/08/2015,3151,
Guinea,13/08/2015,3330,2072
Nigeria,13/08/2015,19,7
Liberia,13/08/2015,6,2
United Kingdom,13/08/2015,1,
Italy,13/08/2015,1,
United States of America,13/08/2015,4,1
Mali,13/08/2015,7,
Sierra Leone,13/08/2015,8697,3585
Spain,13/08/2015,1,0
Senegal,13/08/2015,1,0
Italy,14/08/2015,1,
Mali,14/08/2015,7,
Liberia,14/08/2015,3151,
Guinea,14/08/2015,3330,2072
United States of America,14/08/2015,4,1
Liberia,14/08/2015,6,2
Spain,14/08/2015,1,0
Nigeria,14/08/2015,19,7
Sierra Leone,14/08/2015,8697,3586
Senegal,14/08/2015,1,0
United Kingdom,14/08/2015,1,
Mali,17/08/2015,7,
Liberia,17/08/2015,3151,
Italy,17/08/2015,1,
Senegal,17/08/2015,1,0
Guinea,17/08/2015,3332,2072
United States of America,17/08/2015,4,1
Liberia,17/08/2015,6,2
Spain,17/08/2015,1,0
Nigeria,17/08/2015,19,7
