Country,Date,No. of confirmed cases,No. of confirmed deaths
Spain,26/11/2014,1,0
Senegal,26/11/2014,1,0
Mali,26/11/2014,7,5
United States of America,01/12/2014,4,1
Spain,01/12/2014,1,0
Guinea,01/12/2014,1921,1102
Liberia,01/12/2014,2801,
Nigeria,01/12/2014,19,7
Mali,01/12/2014,7,
Senegal,01/12/2014,1,0
Sierra Leone,01/12/2014,5831,1321
Mali,03/12/2014,7,
Liberia,03/12/2014,2801,
Senegal,03/12/2014,1,0
Sierra Leone,03/12/2014,5978,1374
United States of America,03/12/2014,4,1
Nigeria,03/12/2014,19,7
Guinea,03/12/2014,1929,1117
Spain,03/12/2014,1,0
Senegal,10/12/2014,1,0
Mali,10/12/2014,7,
Spain,10/12/2014,1,0
Guinea,10/12/2014,2051,1207
Liberia,10/12/2014,2830,
Sierra Leone,10/12/2014,6375,1559
Nigeria,10/12/2014,19,7
United States of America,10/12/2014,4,1
Mali,15/12/2014,7,
Guinea,15/12/2014,2115,1255
Nigeria,15/12/2014,19,7
United States of America,15/12/2014,4,1
Senegal,15/12/2014,1,0
Spain,15/12/2014,1,0
Liberia,15/12/2014,2946,
Sierra Leone,15/12/2014,6638,1824
Spain,17/12/2014,1,0
Nigeria,17/12/2014,19,7
Liberia,17/12/2014,2946,
Mali,17/12/2014,7,
Sierra Leone,17/12/2014,6702,1876
Senegal,17/12/2014,1,0
United States of America,17/12/2014,4,1
Guinea,17/12/2014,2127,1262
Senegal,22/12/2014,1,0
Sierra Leone,22/12/2014,6975,2190
Liberia,22/12/2014,3085,
United States of America,22/12/2014,4,1
Mali,22/12/2014,7,
Nigeria,22/12/2014,19,7
Guinea,22/12/2014,2259,1323
Spain,22/12/2014,1,0
Nigeria,23/12/2014,19,7
Guinea,23/12/2014,2284,1344
Liberia,23/12/2014,3085,
Mali,23/12/2014,7,
Spain,23/12/2014,1,0
United States of America,23/12/2014,4,1
Senegal,23/12/2014,1,0
Sierra Leone,23/12/2014,7017,2216
Sierra Leone,24/12/2014,7017,2216
Nigeria,24/12/2014,19,7
Spain,24/12/2014,1,0
Senegal,24/12/2014,1,0
Liberia,24/12/2014,3085,
Guinea,24/12/2014,2284,1344
United States of America,24/12/2014,4,1
Mali,24/12/2014,7,
United States of America,26/12/2014,4,1
Liberia,26/12/2014,3085,
Spain,26/12/2014,1,0
Guinea,26/12/2014,2342,1385
Sierra Leone,26/12/2014,7160,2289
Mali,26/12/2014,7,
Nigeria,26/12/2014,19,7
Senegal,26/12/2014,1,0
Liberia,29/12/2014,3108,
Mali,29/12/2014,7,
Guinea,29/12/2014,2384,1422
Nigeria,29/12/2014,19,7
United States of America,29/12/2014,4,1
Senegal,29/12/2014,1,0
Spain,29/12/2014,1,0
Sierra Leone,29/12/2014,7326,2366
Nigeria,30/12/2014,19,7
United States of America,30/12/2014,4,1
Guinea,30/12/2014,2397,1433
Spain,30/12/2014,1,0
Liberia,30/12/2014,3108,
Senegal,30/12/2014,1,0
Mali,30/12/2014,7,
Sierra Leone,30/12/2014,7354,2392
Sierra Leone,31/12/2014,7354,2392
Nigeria,31/12/2014,19,7
Spain,31/12/2014,1,0
United States of America,31/12/2014,4,1
Guinea,31/12/2014,2397,1433
Liberia,31/12/2014,3110,
Senegal,31/12/2014,1,0
Mali,31/12/2014,7,
Nigeria,02/01/2015,19,7
Spain,02/01/2015,1,0
United Kingdom,02/01/2015,1,
Mali,02/01/2015,7,
Liberia,02/01/2015,3110,
Senegal,02/01/2015,1,0
Guinea,02/01/2015,2435,1463
United States of America,02/01/2015,4,1
Sierra Leone,02/01/2015,7476,2461
Liberia,05/01/2015,3116,
Spain,05/01/2015,1,0
Guinea,05/01/2015,2465,1488
Sierra Leone,05/01/2015,7570,2549
Nigeria,05/01/2015,19,7
Mali,05/01/2015,7,
United Kingdom,05/01/2015,1,
Senegal,05/01/2015,1,0
United States of America,05/01/2015,4,1
Senegal,06/01/2015,1,0
Spain,06/01/2015,1,0
Nigeria,06/01/2015,19,7
United States of America,06/01/2015,4,1
Sierra Leone,06/01/2015,7602,2577
Liberia,06/01/2015,3118,
Guinea,06/01/2015,2471,1499
Mali,06/01/2015,7,
United Kingdom,06/01/2015,1,0
Nigeria,07/01/2015,19,7
United States of America,07/01/2015,4,1
Mali,07/01/2015,7,
Sierra Leone,07/01/2015,7602,2577
Liberia,07/01/2015,3118,
Guinea,07/01/2015,2471,1499
United Kingdom,07/01/2015,1,0
Spain,07/01/2015,1,0
Senegal,07/01/2015,1,0
Liberia,08/01/2015,3118,
Sierra Leone,08/01/2015,7759,2611
United Kingdom,08/01/2015,1,
Guinea,08/01/2015,2477,1504
Mali,08/01/2015,7,
Mali,09/01/2015,7,
Sierra Leone,09/01/2015,7759,2611
Liberia,09/01/2015,3123,
United Kingdom,09/01/2015,1,
Guinea,09/01/2015,2493,1515
Liberia,12/01/2015,3123,
Mali,12/01/2015,7,
United Kingdom,12/01/2015,1,
Guinea,12/01/2015,2508,1523
Sierra Leone,12/01/2015,7766,2683
Liberia,13/01/2015,3123,
Sierra Leone,13/01/2015,7766,2683
Mali,13/01/2015,7,
Guinea,13/01/2015,2508,1523
United Kingdom,13/01/2015,1,
Sierra Leone,14/01/2015,7786,2696
